scenario,method,acc_retain_unlearn,acc_forget_unlearn,acc_test_unlearn,acc_retain_orig,acc_forget_orig,acc_test_orig,forget_drop,retain_drop,test_drop,UQI,KL_retain,JS_retain,KL_test,JS_test,Agree_retain,Agree_test,MIA_AUC
subset2pct,GA,0.7036033163265306,0.65625,0.665,0.9320790816326531,0.9609375,0.865625,0.3046875,0.22847576530612246,0.20062499999999994,0.0901371173469388,7.246547222137451,0.563371479511261,1.243330955505371,0.1484372317790985,0.7023278061224489,0.67375,0.52166748046875
subset2pct,Fisher,0.7452168367346939,0.7265625,0.709375,0.9320790816326531,0.9609375,0.865625,0.234375,0.18686224489795922,0.15625,0.06281887755102039,7.3443989753723145,0.57013338804245,1.1391665935516357,0.12613743543624878,0.7477678571428571,0.715,0.4974365234375
subset2pct,NegGradPlus,0.821906887755102,0.78125,0.77625,0.9320790816326531,0.9609375,0.865625,0.1796875,0.11017219387755106,0.08937499999999998,0.07991390306122448,7.373967170715332,0.5721771717071533,0.7358055114746094,0.09250639379024506,0.8230229591836735,0.790625,0.5
subset2pct,CF-k1,0.834343112244898,0.8125,0.775,0.9320790816326531,0.9609375,0.865625,0.1484375,0.09773596938775508,0.09062499999999996,0.05425701530612248,7.45815372467041,0.5743898153305054,0.5940030217170715,0.08340449631214142,0.8378507653061225,0.79625,0.50579833984375
subset2pct,EU-k1,0.9367028061224489,0.84375,0.864375,0.9320790816326531,0.9609375,0.865625,0.1171875,-0.004623724489795866,0.0012499999999999734,0.11887436224489795,7.589685440063477,0.5805816650390625,0.37056922912597656,0.0489916130900383,0.9400510204081632,0.885625,0.4989013671875
subset2pct,SCRUB,0.9237882653061225,0.9375,0.855625,0.9320790816326531,0.9609375,0.865625,0.0234375,0.008290816326530615,0.010000000000000009,0.014292091836734688,7.723296642303467,0.5884071588516235,0.2854212820529938,0.04461129009723663,0.9282525510204082,0.88,0.513671875
subset2pct,SCRUB(+R),0.9177295918367347,0.921875,0.84875,0.9320790816326531,0.9609375,0.865625,0.0390625,0.014349489795918324,0.016874999999999973,0.02345025510204085,7.617923736572266,0.5848054885864258,0.3203950524330139,0.04914015159010887,0.9229910714285714,0.871875,0.50982666015625
subset2pct,Certified,0.9421237244897959,0.9296875,0.865625,0.9320790816326531,0.9609375,0.865625,0.03125,-0.010044642857142794,0.0,0.0362723214285714,7.656663417816162,0.5894104242324829,0.25788792967796326,0.041358575224876404,0.9465880102040817,0.89,0.5250244140625
subset2pct,Q-MUL,0.9021045918367347,0.8984375,0.835625,0.9320790816326531,0.9609375,0.865625,0.0625,0.029974489795918324,0.030000000000000027,0.032512755102040825,7.702635288238525,0.5851110219955444,0.3269607126712799,0.05213601142168045,0.9060905612244898,0.86125,0.5321044921875
subset2pct,LCA,0.9365433673469388,0.0859375,0.854375,0.9320790816326531,0.9609375,0.865625,0.875,-0.004464285714285698,0.011249999999999982,0.8716071428571428,7.403513431549072,0.571580708026886,0.5982486605644226,0.06760990619659424,0.9379783163265306,0.870625,0.00506591796875
subset2pct,ADV-UNIFORM,0.9065688775510204,0.890625,0.8375,0.9320790816326531,0.9609375,0.865625,0.0703125,0.025510204081632626,0.028124999999999956,0.04349489795918371,7.545456409454346,0.5797653794288635,0.3979438841342926,0.056351982057094574,0.9064094387755102,0.856875,0.51373291015625
fullclass,GA,0.19114583333333332,0.0,0.16625,0.9407986111111111,0.859375,0.865625,0.859375,0.7496527777777777,0.699375,0.1348611111111111,7.654391765594482,0.5646357536315918,6.591086387634277,0.5329629778862,0.19947916666666668,0.17375,
fullclass,Fisher,0.1765625,0.0,0.1525,0.9407986111111111,0.859375,0.865625,0.859375,0.7642361111111111,0.713125,0.12069444444444444,7.643264293670654,0.5475373268127441,5.88029670715332,0.5202217102050781,0.17743055555555556,0.165625,
fullclass,NegGradPlus,0.7178819444444444,0.0,0.6275,0.9407986111111111,0.859375,0.865625,0.859375,0.22291666666666665,0.23812500000000003,0.6288541666666667,8.499971389770508,0.5756052732467651,1.7576463222503662,0.21068128943443298,0.7244791666666667,0.64375,
fullclass,CF-k1,0.16875,0.0,0.13625,0.9407986111111111,0.859375,0.865625,0.859375,0.7720486111111111,0.729375,0.1086631944444445,7.578526496887207,0.5543824434280396,6.243566989898682,0.5373175144195557,0.17135416666666667,0.144375,
fullclass,EU-k1,0.9565972222222222,0.0,0.800625,0.9407986111111111,0.859375,0.865625,0.859375,-0.015798611111111138,0.06499999999999995,0.8347743055555557,8.750677108764648,0.5822700262069702,0.3589060306549072,0.04640134423971176,0.9543402777777777,0.905,
fullclass,SCRUB,0.8810763888888888,0.0,0.74375,0.9407986111111111,0.859375,0.865625,0.859375,0.05972222222222223,0.12187499999999996,0.7685763888888889,8.7244873046875,0.5863484144210815,1.135575532913208,0.14290156960487366,0.8840277777777777,0.756875,
fullclass,SCRUB(+R),0.8420138888888888,0.0,0.70625,0.9407986111111111,0.859375,0.865625,0.859375,0.09878472222222223,0.15937499999999993,0.730295138888889,8.675738334655762,0.5831276178359985,1.321377158164978,0.1670365035533905,0.8458333333333333,0.72125,
fullclass,Certified,0.9524305555555556,0.5421875,0.84125,0.9407986111111111,0.859375,0.865625,0.31718749999999996,-0.011631944444444486,0.024374999999999925,0.31081597222222224,8.90296459197998,0.5886930823326111,0.9549685120582581,0.06465873122215271,0.9553819444444445,0.864375,
